STS回单设置XTSZ014客户使用情况设置;客户使用情况设置查询;custSetQ001UsingGET;/sts/sdm/custset/Q001;GET;QUERY
STS回单设置XTSZ013适用场景选择;适用场景设置保存;dataSetP001UsingPOST;/sts/sdm/dataset/P001;POST;BODY
STS回单设置XTSZ013适用场景选择;适用场景设置删除;dataSetP002UsingPOST;/sts/sdm/dataset/P002;POST;BODY
STS回单设置XTSZ013适用场景选择;适用场景设置查询;dataSetQ001UsingGET;/sts/sdm/dataset/Q001;GET;PATH
STS回单设置XTSZ035设置签章服务点聚;点聚签章服务保存;dianJuSignSetP001UsingPOST;/sts/sdm/dianjusignset/P001;POST;BODY
STS回单设置XTSZ035设置签章服务点聚;点聚签章服务删除;dianJuSignSetP003UsingPOST;/sts/sdm/dianjusignset/P003;POST;BODY
STS回单设置XTSZ035设置签章服务点聚;点聚签章服务查询;dianJuSignSetQ001UsingPOST;/sts/sdm/dianjusignset/Q001;POST;BODY
STS回单设置XTSZ034设置签章服务金格;金格签章保存;kingGridSignSetP001UsingPOST;/sts/sdm/kinggridsignset/P001;POST;BODY
STS回单设置XTSZ034设置签章服务金格;金格签章详细设置保存;kingGridSignSetP002UsingPOST;/sts/sdm/kinggridsignset/P002;POST;BODY
STS回单设置XTSZ034设置签章服务金格;金格签章服务删除;kingGridSignSetP003UsingPOST;/sts/sdm/kinggridsignset/P003;POST;BODY
STS回单设置XTSZ034设置签章服务金格;金格签章服务查询;kingGridSignSetQ001UsingPOST;/sts/sdm/kinggridsignset/Q001;POST;BODY
STS回单设置XTSZ034设置签章服务金格;金格签章详细设置查询;kingGridSignSetQ002UsingGET;/sts/sdm/kinggridsignset/Q002;GET;PATH
STS回单设置XTSZ010参数设置;参数设置保存;paramSetP001UsingPOST;/sts/sdm/paramset/P001;POST;BODY
STS回单设置XTSZ010参数设置;参数设置查询;paramSetQ001UsingPOST;/sts/sdm/paramset/Q001;POST;BODY
STS回单设置XTSZ011日常打印盖章设置;日常打印盖章设置保存;printSetP001UsingPOST;/sts/sdm/printset/P001;POST;BODY
STS回单设置XTSZ011日常打印盖章设置;日常打印盖章设置查询;printSetQ001UsingPOST;/sts/sdm/printset/Q001;POST;BODY
